Date,Open,High,Low,Close,Adj Close,Volume
2023-04-10,22815.0,23140.0,22746.05078125,22831.650390625,22691.755859375,18990
2023-04-11,22832.05078125,22958.0,22626.599609375,22778.849609375,22639.279296875,15509
2023-04-12,22850.0,22958.0,22530.0,22643.30078125,22504.560546875,15983
2023-04-13,22700.0,22745.849609375,22430.0,22493.69921875,22355.876953125,9727
2023-04-17,22617.400390625,22880.0,22458.099609375,22538.150390625,22400.0546875,13701
2023-04-18,22538.150390625,22702.94921875,22415.0,22530.400390625,22392.353515625,13222
2023-04-19,22679.94921875,22919.94921875,22550.0,22733.75,22594.45703125,22685
2023-04-20,22733.94921875,22823.94921875,22548.55078125,22577.75,22439.412109375,6245
2023-04-21,22600.0,22643.94921875,22232.05078125,22434.69921875,22297.23828125,8120
2023-04-24,22440.0,22589.94921875,22274.0,22546.30078125,22408.15625,4653
2023-04-25,22590.0,22660.0,22260.05078125,22301.849609375,22165.203125,10076
2023-04-26,22309.94921875,22412.44921875,22195.19921875,22310.69921875,22173.998046875,34799
2023-04-27,22310.0,22349.599609375,22109.0,22147.349609375,22011.6484375,9489
2023-04-28,22224.0,22385.94921875,21996.05078125,22297.25,22160.630859375,13254
2023-05-02,22319.94921875,22588.0,22298.849609375,22379.849609375,22242.724609375,7540
2023-05-03,22380.0,22649.900390625,22303.19921875,22567.25,22428.9765625,10969
2023-05-04,22600.0,22790.0,22479.05078125,22585.44921875,22447.064453125,8892
2023-05-05,22624.94921875,22700.0,22422.05078125,22650.80078125,22512.015625,3879
2023-05-08,22650.80078125,22750.0,22386.25,22471.19921875,22333.513671875,10519
2023-05-09,22630.0,22700.0,21636.0,21929.30078125,21794.935546875,26497
2023-05-10,22034.0,22034.0,21280.0,21391.0,21259.93359375,27318
2023-05-11,21400.0,21593.94921875,21156.099609375,21236.400390625,21106.28125,18688
2023-05-12,21266.0,21532.0,21135.0,21229.400390625,21099.32421875,15506
2023-05-15,21299.0,21510.0,21180.0,21228.0,21097.931640625,10716
2023-05-16,21299.94921875,21346.75,21072.099609375,21194.19921875,21064.337890625,8737
2023-05-17,21202.0,21339.94921875,21075.0,21215.5,21085.509765625,10602
2023-05-18,21330.0,21353.94921875,20932.0,20970.55078125,20842.060546875,7346
2023-05-19,21087.5,21091.599609375,20605.05078125,20898.44921875,20770.400390625,17558
2023-05-22,20751.0,21538.55078125,20751.0,21373.099609375,21242.142578125,25214
2023-05-23,21438.94921875,21588.80078125,21415.19921875,21508.099609375,21376.31640625,8569
2023-05-24,21508.099609375,21621.099609375,21430.0,21470.0,21338.44921875,16138
2023-05-25,21580.0,21933.75,21416.44921875,21840.900390625,21707.078125,7369
2023-05-26,21940.0,21941.650390625,21680.0,21901.44921875,21767.255859375,6057
2023-05-29,21970.0,21988.0,21747.0,21893.80078125,21759.654296875,6045
2023-05-30,21950.0,22084.80078125,21879.349609375,22054.599609375,21919.466796875,6888
2023-05-31,22025.0,22119.94921875,21696.19921875,21737.900390625,21604.708984375,6644
2023-06-01,21857.69921875,21889.69921875,21550.0,21602.650390625,21470.287109375,10678
2023-06-02,21602.0,21995.94921875,21503.0,21927.25,21792.8984375,10784
2023-06-05,21950.0,21999.94921875,21720.44921875,21832.150390625,21698.380859375,3841
2023-06-06,21800.0,21900.0,21591.05078125,21823.05078125,21689.337890625,6250
2023-06-07,21900.0,21989.94921875,21800.25,21865.80078125,21731.82421875,7574
2023-06-08,21940.0,21940.0,21600.0,21645.25,21512.625,4828
2023-06-09,21700.0,21870.0,21450.099609375,21791.150390625,21657.6328125,11353
2023-06-12,21791.150390625,22000.0,21680.099609375,21960.400390625,21825.845703125,7816
2023-06-13,22000.0,22247.94921875,21940.05078125,22155.69921875,22019.947265625,10928
2023-06-14,22333.0,22340.650390625,21919.55078125,22038.69921875,21903.6640625,7374
2023-06-15,22160.0,22495.0,22071.400390625,22432.55078125,22295.1015625,12198
2023-06-16,22432.55078125,22750.0,22420.0,22711.5,22572.341796875,16868
2023-06-19,22712.0,23300.0,22706.30078125,23093.5,22952.001953125,20737
2023-06-20,23093.5,23189.849609375,22713.099609375,22996.900390625,22855.994140625,12863
2023-06-21,23090.0,23090.0,22601.0,22678.900390625,22539.943359375,8024
2023-06-22,22612.0,22762.94921875,22444.0,22554.849609375,22416.65234375,10211
2023-06-23,22670.0,22719.94921875,22470.05078125,22659.30078125,22520.462890625,8049
2023-06-26,22600.0,22933.94921875,22598.80078125,22841.150390625,22701.19921875,9642
2023-06-27,22806.0,23017.19921875,22632.05078125,22707.80078125,22568.666015625,18854
2023-06-28,22710.0,23498.0,22710.0,23202.30078125,23060.13671875,17998
2023-06-30,23150.0,23455.0,23150.0,23419.150390625,23275.65625,9015
2023-07-03,23500.0,23548.849609375,23167.55078125,23249.69921875,23107.244140625,5169
2023-07-04,23229.94921875,23360.0,23150.0,23209.19921875,23066.9921875,3896
2023-07-05,23151.0,23400.0,23151.0,23306.0,23163.19921875,6095
2023-07-06,23306.94921875,23869.94921875,23200.0,23825.75,23679.765625,14956
2023-07-07,23815.0,23815.0,23451.05078125,23499.400390625,23355.416015625,6240
2023-07-10,23500.0,23614.69921875,23283.75,23470.44921875,23326.640625,4870
2023-07-11,23550.0,23806.94921875,23307.44921875,23693.19921875,23548.02734375,11542
2023-07-12,23661.0,23850.0,23501.599609375,23564.5,23420.115234375,7679
2023-07-13,23600.0,23678.05078125,23300.0,23392.55078125,23249.220703125,7927
2023-07-14,23394.94921875,23450.05078125,23163.05078125,23293.900390625,23151.173828125,4693
2023-07-17,23350.0,23519.94921875,23079.05078125,23151.94921875,23010.09375,16350
2023-07-18,23250.0,23399.0,22990.599609375,23345.650390625,23202.607421875,8260
2023-07-19,23341.19921875,23568.849609375,23200.0,23468.650390625,23324.853515625,15305
2023-07-20,23588.30078125,23725.0,23450.19921875,23665.099609375,23520.099609375,7312
2023-07-21,23400.0,23522.94921875,23150.0,23183.849609375,23183.849609375,7258
2023-07-24,23219.94921875,23347.94921875,23008.44921875,23171.25,23171.25,10909
2023-07-25,23250.0,23251.05078125,22884.69921875,22986.400390625,22986.400390625,8996
2023-07-26,22986.400390625,23039.75,22870.0,22945.44921875,22945.44921875,9666
2023-07-27,22945.44921875,23813.849609375,22909.94921875,23705.849609375,23705.849609375,24755
2023-07-28,23800.0,24142.94921875,23622.0,24059.94921875,24059.94921875,16562
2023-07-31,24150.0,24240.0,23954.05078125,24068.599609375,24068.599609375,7074
2023-08-01,24094.44921875,24094.44921875,23770.0,23943.19921875,23943.19921875,6810
2023-08-02,23999.0,24235.0,23743.19921875,24084.69921875,24084.69921875,17029
2023-08-03,24204.69921875,24657.69921875,24034.599609375,24555.80078125,24555.80078125,34082
2023-08-04,24649.94921875,24657.44921875,23800.0,23864.0,23864.0,12946
2023-08-07,24000.0,24223.349609375,23618.099609375,23964.75,23964.75,9545
