Date,Open,High,Low,Close,Adj Close,Volume
2023-04-10,1279.050048828125,1307.050048828125,1274.1500244140625,1283.9000244140625,1278.6129150390625,52594
2023-04-11,1290.699951171875,1290.699951171875,1239.0999755859375,1251.300048828125,1246.147216796875,27181
2023-04-12,1256.0,1285.0,1245.050048828125,1268.75,1263.5252685546875,22303
2023-04-13,1279.949951171875,1280.0,1259.199951171875,1265.949951171875,1260.7366943359375,192881
2023-04-17,1266.0,1285.5999755859375,1250.0,1277.449951171875,1272.1893310546875,13441
2023-04-18,1284.0,1284.0,1261.0,1270.199951171875,1264.96923828125,57094
2023-04-19,1270.199951171875,1276.550048828125,1241.0,1245.25,1240.1220703125,229142
2023-04-20,1251.800048828125,1266.25,1236.0,1260.949951171875,1255.75732421875,12600
2023-04-21,1255.0,1267.25,1220.050048828125,1234.0,1228.9183349609375,16357
2023-04-24,1240.5,1315.0,1234.0,1282.4000244140625,1277.1190185546875,78109
2023-04-25,1280.0,1309.949951171875,1275.050048828125,1299.9000244140625,1294.5469970703125,63364
2023-04-26,1305.699951171875,1329.949951171875,1283.1500244140625,1320.800048828125,1315.3609619140625,125490
2023-04-27,1312.0,1356.8499755859375,1312.0,1350.699951171875,1345.1376953125,24157
2023-04-28,1316.9000244140625,1370.0,1316.9000244140625,1344.300048828125,1338.76416015625,53801
2023-05-02,1344.300048828125,1369.9000244140625,1335.199951171875,1359.0,1353.403564453125,39978
2023-05-03,1364.949951171875,1369.949951171875,1342.0999755859375,1363.0999755859375,1357.4866943359375,43598
2023-05-04,1363.0999755859375,1376.949951171875,1314.0999755859375,1335.4000244140625,1329.9007568359375,44906
2023-05-05,1335.4000244140625,1362.800048828125,1335.4000244140625,1354.9000244140625,1349.320556640625,97951
2023-05-08,1370.0,1385.5,1354.949951171875,1376.300048828125,1370.6324462890625,99652
2023-05-09,1382.0,1382.0,1365.8499755859375,1379.800048828125,1374.1180419921875,40621
2023-05-10,1379.800048828125,1401.0,1371.550048828125,1391.0,1385.2718505859375,16139
2023-05-11,1397.0,1409.0,1381.0,1400.9000244140625,1395.131103515625,13859
2023-05-12,1404.550048828125,1445.0,1400.0,1424.0999755859375,1418.2354736328125,98993
2023-05-15,1428.0,1434.75,1393.050048828125,1399.6500244140625,1393.88623046875,24437
2023-05-16,1399.8499755859375,1405.3499755859375,1380.0999755859375,1385.449951171875,1379.74462890625,27615
2023-05-17,1384.949951171875,1464.949951171875,1365.550048828125,1433.75,1427.8458251953125,97076
2023-05-18,1447.9000244140625,1499.800048828125,1366.0999755859375,1389.050048828125,1383.3299560546875,229085
2023-05-19,1392.0,1412.0,1378.199951171875,1393.5,1387.761474609375,94576
2023-05-22,1394.8499755859375,1404.949951171875,1363.0,1370.75,1365.105224609375,23278
2023-05-23,1370.800048828125,1382.25,1357.199951171875,1365.199951171875,1359.5780029296875,28161
2023-05-24,1365.199951171875,1392.0999755859375,1357.0,1383.4000244140625,1377.703125,11342
2023-05-25,1379.300048828125,1407.550048828125,1375.0999755859375,1402.9000244140625,1397.122802734375,72831
2023-05-26,1404.25,1447.75,1404.199951171875,1415.4000244140625,1409.5714111328125,75637
2023-05-29,1420.0,1436.6500244140625,1404.0,1411.5999755859375,1405.7869873046875,20384
2023-05-30,1410.199951171875,1435.0,1405.0,1428.1500244140625,1422.2689208984375,23250
2023-05-31,1428.1500244140625,1457.4000244140625,1425.25,1434.1500244140625,1428.244140625,36571
2023-06-01,1439.75,1467.0,1434.6500244140625,1461.1500244140625,1455.1329345703125,82470
2023-06-02,1466.9000244140625,1511.699951171875,1455.0999755859375,1502.550048828125,1496.362548828125,88869
2023-06-05,1510.0999755859375,1524.800048828125,1481.300048828125,1494.699951171875,1488.5447998046875,151985
2023-06-06,1515.0,1525.0,1456.0,1483.0,1476.8929443359375,91881
2023-06-07,1483.4000244140625,1526.0,1478.0,1521.949951171875,1515.6824951171875,136575
2023-06-08,1527.949951171875,1527.949951171875,1492.3499755859375,1518.9000244140625,1512.6451416015625,93174
2023-06-09,1519.1500244140625,1544.0,1482.0999755859375,1490.0999755859375,1483.9637451171875,47029
2023-06-12,1486.0,1548.75,1486.0,1524.699951171875,1518.421142578125,101351
2023-06-13,1529.0,1539.949951171875,1507.0,1527.8499755859375,1521.5582275390625,26531
2023-06-14,1539.0,1584.800048828125,1515.9000244140625,1533.75,1527.4339599609375,86466
2023-06-15,1539.75,1557.4000244140625,1510.1500244140625,1548.199951171875,1541.824462890625,110935
2023-06-16,1551.0,1625.0,1525.0,1548.5999755859375,1542.2227783203125,319857
2023-06-19,1549.050048828125,1610.0,1549.050048828125,1585.949951171875,1579.4189453125,135793
2023-06-20,1593.699951171875,1597.699951171875,1560.0,1568.25,1561.7918701171875,30765
2023-06-21,1583.0,1592.449951171875,1542.550048828125,1567.0,1560.5469970703125,69582
